"Prefixed_Name","Full_Name","First_Name","Surname","Position","Start_Date","End_Date"
"Miss","นางสาวจริภรณ์ กิจเจริญไพศาล","จริภรณ์","กิจเจริญไพศาล","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวจิตราวิณี วรรณกร","จิตราวิณี","วรรณกร","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายณพวิทย์ โทเทอดวิไล","ณพวิทย์","โทเทอดวิไล","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวณัชชา อากาศฤกษ์","ณัชชา","อากาศฤกษ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mrs","นางนลินรัตน์ ทรรทรานนท์","นลินรัตน์","ทรรทรานนท์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายปัญญา คงคาไพศาล","ปัญญา","คงคาไพศาล","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายไพศาล วรเศรษฐ์ศิริ","ไพศาล","วรเศรษฐ์ศิริ","ผู้ช่วยผู้จัดการใหญ่","",""
"Dr","ดร. สรรเพชญ สุขเพสน์","สรรเพชญ","สุขเพสน์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mrs","นางสุนันท์ ศิริอักษร","สุนันท์","ศิริอักษร","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสุรพงษ์ ศิวาลัย","สุรพงษ์","ศิวาลัย","ผู้ช่วยผู้จัดการใหญ่","",""
"Dr","ดร.อนุวรรตน์ ศรีอุดม","อนุวรรตน์","ศรีอุดม","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายวรวุฒิ เวสารัชกิจ","วรวุฒิ","เวสารัชกิจ","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสรุจ วนรัตน์ศิริกุล","สรุจ","วนรัตน์ศิริกุล","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายชัยยศ ตันพิสุทธิ์","ชัยยศ","ตันพิสุทธิ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mrs","นางอุษา เกาศล","อุษา","เกาศล","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสิทธิโชค เตชพาหพงษ์","สิทธิโชค","เตชพาหพงษ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายรักษภาส วิชินโรจน์จรัล","รักษภาส","วิชินโรจน์จรัล","ผู้ช่วยผู้จัดการใหญ่","",""
"Mrs","นางสาธินี ศรีรัตนพงษ์","สาธินี","ศรีรัตนพงษ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวชนกสุดา ชิตรัตน์","ชนกสุดา","ชิตรัตน์","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวชุติมา กิตติบัณฑูร","ชุติมา","กิตติบัณฑูร","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวนันทิกา ศันสนียเกียรติ","นันทิกา","ศันสนียเกียรติ","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวบุญวรงค์ บุณยไวโรจน์","บุญวรงค์","บุณยไวโรจน์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mrs","นางวราลักษณ์ อภิกุลวณิช","วราลักษณ์","อภิกุลวณิช","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสรศักดิ์ พึ่งรัตน์","สรศักดิ์","พึ่งรัตน์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสิริพัฒน์ อรรฆย์ศุภกุล","สิริพัฒน์","อรรฆย์ศุภกุล","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวอรธิดา บุญเปี่ยมศักดิ์","อรธิดา","บุญเปี่ยมศักดิ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวอาภรณ์ ศิริศรีสกุลชัย","อาภรณ์","ศิริศรีสกุลชัย","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวศิริพร เริงจิตต์","ศิริพร","เริงจิตต์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายกุลวัชร์ พุ่มเทียน","กุลวัชร์","พุ่มเทียน","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายจักรพงศ์ โอแสงธรรมนนท์","จักรพงศ์","โอแสงธรรมนนท์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายรวินท์ เบญจตันติกุล","รวินท์","เบญจตันติกุล","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายรุ่งสกุล เรืองไทย","รุ่งสกุล","เรืองไทย","ผู้ช่วยผู้จัดการใหญ่","",""
"Dr","ดร.วราธัช ตันติวรวงศ์","วราธัช","ตันติวรวงศ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายศิริวัฒน์ วิศลดิลกพันธ์","ศิริวัฒน์","วิศลดิลกพันธ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสมพร วงศ์ประคอง","สมพร","วงศ์ประคอง","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสิริพล จิตรจง","สิริพล","จิตรจง","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายกำพล สุทธิพิเชษฐ์","กำพล","สุทธิพิเชษฐ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายธีระเดช ตันไพบูลย์","ธีระเดช","ตันไพบูลย์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายบวร ศรีสง่าตระกูล","บวร","ศรีสง่าตระกูล","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายบุญเติบ จีรภัทร์","บุญเติบ","จีรภัทร์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mrs","นางพิภาพัณณ์ อรรถวานิช","พิภาพัณณ์","อรรถวานิช","ผู้ช่วยผู้จัดการใหญ่","",""
"Mrs","นางภัทราภา หงษ์คำดี","ภัทราภา","หงษ์คำดี","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายภาสกร อรพนิชอารี","ภาสกร","อรพนิชอารี","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวร่มฉัตร ทรงศิริ","ร่มฉัตร","ทรงศิริ","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายวีระพล บดีรัฐ","วีระพล","บดีรัฐ","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายสุขสันต์ วัฒนายากร","สุขสันต์","วัฒนายากร","ผู้ช่วยผู้จัดการใหญ่","",""
"Dr","ดร.ดลินี ศาสตระรุจิ","ดลินี","ศาสตระรุจิ","ผู้ช่วยผู้จัดการใหญ่","",""
"Dr","ดร.บุริศวร์ กิตติรังสิ","บุริศวร์","กิตติรังสิ","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวพัชรี จำนง","พัชรี","จำนง","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายอรรถสิทธิ์ เอื้ออารักษ์","อรรถสิทธิ์","เอื้ออารักษ์","ผู้ช่วยผู้จัดการใหญ่","",""
"Mr","นายอุดร อุปเส็น","อุดร","อุปเส็น","ผู้ช่วยผู้จัดการใหญ่","",""
"Miss","นางสาวชิพาภัสร์ ศรีนครไทย","ชิพาภัสร์","ศรีนครไทย","ผู้ช่วยผู้จัดการใหญ่","",""
"","​นายปิยะพงศ์ แสงภัทราชัย","​นายปิยะพงศ์","แสงภัทราชัย","ผู้บริหารกลุ่มธุรกิจผลิตภัณฑ์ตลาดทุน","",""
"Mr","นายพงศกร ล่ำซำ","พงศกร","ล่ำซำ","Private Banking Business Head","",""
"Dr","ดร. ตรีพล ภูมิวสนะ","ตรีพล","ภูมิวสนะ","Private Banking Business Head","",""
"Miss","นางสาวศิริพร สุวรรณการ","ศิริพร","สุวรรณการ","Financial Advisory Head","",""
"Mr","นายพีระพัฒน์ เหรียญประยูร","พีระพัฒน์","เหรียญประยูร","Wealth Planning and Non Capital Maket Head","",""
"Miss","นางสาวสุใจ หาญเชาว์วงศ์","สุใจ","หาญเชาว์วงศ์","Business Strategy and Marketing Head","",""
"Miss","นางสาวพรวิภา ตั้งตรงจิตร","พรวิภา","ตั้งตรงจิตร","ผู้บริหารกลุ่มธุรกิจวาณิชธนกิจ","",""
"Mr","นายสาวิตร ศรีศรันยพงศ์","สาวิตร","ศรีศรันยพงศ์","ผู้บริหารกลุ่มธุรกิจวาณิชธนกิจ","",""
